word,total_count
double,153
opinion,153
rise,152
then.,152
tongues,152
vow,152
princely,152
sometime,152
tear,152
touchstone.,152
clifford,152
whence,150
shouldst,150
trouble,150
eyes.,150
goodly,150
nothing.,150
jack,150
blood.,150
borne,150
hortensio.,150
charles,150
hamlet,150
friend.,149
ancient,149
keeps,148
murderer.,148
grows,148
hostess.,148
la,148
humour,148
himself.,148
lo,148
birth,148
camillo.,148
view,147
precious,147
harm,147
manner,147
1.,147
twixt,146
world.,146
forgive,146
lovers,146
dog.,146
forbid,146
moor,146
fled,146
burn,146
poins.,146
aught,146
reg.,146
hastings.,146
bassanio.,146
trumpet,145
sort,145
fellows,145
drop,145
safe,144
wine,144
daughters,144
knowst,144
honesty,144
good.,144
rosaline.,144
cominius.,144
poison,143
smile,143
leaves,143
alone.,143
brain,143
struck,142
thither,142
scarce,142
weary,142
greatness,142
of.,142
awake,142
blind,142
northumberland,142
thomas,142
bitter,142
baptista.,142
lucentio.,142
seven,141
dark,141
alive,141
2.,141
tent,140
wretched,140
quiet,140
street,140
falls,140
pains,140
cruel,140
fears,140
knowledge,140
patient,140
fluellen.,140
gratiano.,140
wits,139
towards,139
due,139
know.,139
blame,139
sayst,138
purse,138
train,138
motion,138
desires,138
led,138
claudio.,138
iago,138
marcus,138
demetrius,138
marcus.,138
charmian.,138
prison,137
rude,137
twice,137
cunning,137
knock,137
stars,136
rogue,136
within.,136
few,136
place.,136
occasion,136
excuse,136
owe,136
host,136
endure,136
always,136
brook,136
ass,136
provost.,136
bearing,136
cheek,136
awhile,136
dauphin,136
bolingbroke,136
launce.,136
yonder,134
rough,134
hither.,134
peace.,134
match,134
hail,134
guilty,134
citizens,134
cheer,134
ajax.,134
lancaster,134
room,132
public,132
wound,132
shadow,132
woo,132
fain,132
labour,132
forest,132
valentine,132
proteus,132
norfolk.,132
camp,132
jove,132
autolycus.,132
effect,131
catch,131
bright,131
quoth,130
spend,130
pure,130
swift,130
wealth,130
embrace,130
mayst,130
defend,130
fill,130
pleasd,130
idle,130
becomes,130
silvia.,130
troy,130
adieu,130
salisbury.,130
grumio.,130
sometimes,129
yours.,129
fat,129
ours,129
bones,129
advantage,129
seal,128
thrice,128
sharp,128
name.,128
graces,128
dance,128
oaths,128
malice,128
company.,128
breathe,128
brow,128
colour,128
stephano.,128
ben.,128
englands,128
proper,127
words.,127
rose,127
murder,127
follows,127
loud,127
together.,126
proof,126
welcome.,126
swords,126
reasons,126
ont,126
fought,126
folly,126
creature,126
talbot.,126
red,125
live.,125
manners,125
nose,125
enough.,125
broken,125
cheeks,125
london,125
traitors,124
wicked,124
tower,124
private,124
wrongs,124
vain,124
former,124
humbly,124
none.,124
monstrous,124
norfolk,124
mer.,124
affection,124
laer.,124
edmund,124
safety,123
prisoner,123
off.,123
join,123
blows,123
warlike,122
twill,122
vows,122
heat,122
obey,122
dry,122
minds,122
melancholy,122
damnd,122
grace.,122
natures,122
home.,122
courage,122
hero,122
gremio.,122
cade.,122
meat,121
face.,121
doing,121
grown,121
fury,121
humble,121
beast,121
claim,121
began,121
tot,120
ways,120
wives,120
steel,120
prepare,120
tonight.,120
nights,120
int,120
deserve,120
fear.,120
le,120
daughter.,120
silvia,120
paulina.,120
christian,120
ajax,120
diomedes.,120
wait,119
natural,119
neck,119
end.,119
cries,119
beyond,119
study,118
saying,118
story,118
stones,118
spare,118
deal,118
ladys,118
giving,118
officer.,118
drunk,118
gift,118
easy,118
ones,118
dreadful,118
percy,118
brother.,118
argument,118
clear,118
slender.,118
colours,118
guiderius.,118
hubert.,118
jaques.,118
shepherd,117
request,117
secret,117
legs,117
able,117
cross,117
remain,116
yourselves,116
single,116
song,116
foes,116
food,116
livd,116
mere,116
duchess,116
pistol,116
approach,116
oph.,116
corn.,116
pisanio.,116
polixenes.,116
affairs,116
macbeth,116
alb.,116
belarius.,116
clifford.,116
aaron.,116
bianca,116
sits,115
fond,115
much.,115
offend,115
finger,115
shut,114
priest,114
thief,114
wanton,114
spent,114
thinks,114
wont,114
silver,114
knee,114
fame,114
lawful,114
he.,114
fiend,114
mother.,114
husbands,114
cap.,114
choice,114
volumnia.,114
bids,114
agamemnon.,114
visit,113
post,113
subjects,113
feet,113
kneel,113
indeed.,113
rare,112
stoln,112
senators,112
tribunes,112
six,112
ride,112
wretch,112
rain,112
monster,112
crowns,112
paid,112
hangd,112
horses,112
clouds,112
are.,112
betwixt,112
chain,112
coriolanus,112
hermia.,112
hero.,112
nine,111
receivd,110
remembrance,110
sooner,110
lieutenant,110
hit,110
hence.,110
depart,110
dearest,110
master.,110
ross.,110
clown,110
somerset.,110
lucentio,110
lavinia,110
dumain.,110
athens,110
glass,109
gross,109
reverend,108
spring,108
therein,108
yet.,108
puts,108
still.,108
sword.,108
evil,108
mend,108
heavenly,108
jewel,108
instant,108
dot,108
flourish,108
dinner,108
fail,108
tamora.,108
abroad,108
desdemona,108
cleopatra,108
bianca.,108
juliet,108
holofernes.,108
wide,107
table,107
spite,107
other.,107
memory,107
heels,107
wall,106
summer,106
seat,106
thrust,106
witch.,106
showd,106
worlds,106
particular,106
lovely,106
leisure,106
gain,106
liberty,106
madness,106
lands,106
gallant,106
niece,106
nought,106
number,106
montague,106
bond,106
bare,106
bottom.,106
castle.,106
bed.,106
andronicus,106
fabian.,106
gonzalo.,106
edwards,106
gon.,106
caius.,106
kent,106
helen,106
benedick,106
throne,105
suddenly,105
turns,105
asleep,105
usd,104
seeming,104
sum,104
rascal,104
shepherd.,104
vouchsafe,104
promisd,104
powers,104
weeping,104
virtues,104
tune,104
painted,104
doors,104
hopes,104
goodness,104
forsworn,104
griefs,104
heed,104
discourse,104
miranda.,104
begins,104
bottom,104
romans,104
brings,104
ant,104
condition,104
caliban.,104
lysander.,104
sigh,103
grey,103
mind.,103
delight,103
id,103
stone,102
protest,102
theyll,102
seest,102
wash,102
intend,102
naked,102
gentlewoman,102
pain,102
names,102
fellow.,102
happiness,102
have.,102
durst,102
devils,102
dispatch,102
saturninus.,102
castle,102
blest,102
comes.,102
.,102
charles.,102
thunder,101
